Date,Open,High,Low,Close,Adj Close,Volume
8/6/2020,14.1,14.31,13.52,13.84,13.84,49787700
8/7/2020,13.54,13.73,13.2,13.42,13.42,57746000
8/10/2020,13.94,14.42,13.68,14.21,14.21,84267300
8/11/2020,15.3,15.45,12.94,12.99,12.99,181311500
8/12/2020,13.37,13.45,12.67,13.36,13.36,77471400
8/13/2020,13.45,13.64,13.17,13.36,13.36,50093500
8/14/2020,13.18,13.18,12.54,13.1,13.1,63250700
8/17/2020,13.07,14.05,13.06,14.05,14.05,78340500
8/18/2020,14.23,14.69,13.87,14.3,14.3,69962400
8/19/2020,14.29,14.41,13.85,14.06,14.06,41966800
8/20/2020,13.85,14.05,13.53,13.78,13.78,50072800
8/21/2020,13.64,14.58,13.62,14.12,14.12,70189900
8/24/2020,14.63,14.98,14.31,14.97,14.97,98697700
8/25/2020,15.08,17.870001,15.06,17.84,17.84,299047800
8/26/2020,19.01,20.969999,18.559999,20.440001,20.440001,364104600
8/27/2020,19.99,20.469999,18.76,19.879999,19.879999,199850300
8/28/2020,18.870001,19.440001,18.110001,18.5,18.5,155242300
8/31/2020,17.190001,19.83,16.82,19.030001,19.030001,226610900
9/1/2020,19.450001,20.379999,18.75,20.120001,20.120001,137644800
9/2/2020,20.92,21.049999,18.5,19.9,19.9,153460600
9/3/2020,19.09,19.84,18.35,18.700001,18.700001,128358400
9/4/2020,18.540001,19.18,15.61,17.98,17.98,163329800
9/8/2020,17.17,17.860001,16.51,17.030001,17.030001,89624600
9/9/2020,17.9,18.629999,17.700001,18.09,18.09,90988400
9/10/2020,18.49,18.719999,17.49,17.74,17.74,79679800
9/11/2020,18,18.1,17.450001,17.969999,17.969999,55373500
9/14/2020,18.18,18.780001,17.9,18.73,18.73,68234900
9/15/2020,19.1,20.25,18.879999,19.190001,19.190001,111630500
9/16/2020,19.27,19.540001,18.52,19.01,19.01,57671000
9/17/2020,18.26,19.33,18.08,19.299999,19.299999,55186600
9/18/2020,19.719999,19.879999,18.940001,19.41,19.41,54885500
9/21/2020,19.049999,19.27,17.66,18.809999,18.809999,75969500
9/22/2020,18.48,19.450001,18.370001,19.23,19.23,61061100
9/23/2020,19.219999,19.360001,17.799999,17.959999,17.959999,70568100
9/24/2020,17.32,18.389999,16.75,17.85,17.85,71069500
9/25/2020,18.02,18.620001,17.950001,18.32,18.32,44122100
9/28/2020,18.879999,19.16,18.43,18.809999,18.809999,42786200
9/29/2020,18.76,21.120001,18.709999,20.85,20.85,163159200
9/30/2020,21.719999,22.59,20.76,21.219999,21.219999,183316600
10/1/2020,21.68,21.959999,20.83,21.76,21.76,79117100
10/2/2020,20.83,22.200001,20.799999,21.18,21.18,92713600
10/5/2020,21.66,21.92,21.07,21.59,21.59,60860100
10/6/2020,21.709999,21.940001,20.6,20.67,20.67,73217100
10/7/2020,21.059999,21.77,20.790001,21.559999,21.559999,59354300
10/8/2020,22.049999,22.450001,21.290001,21.440001,21.440001,77719600
10/9/2020,21.620001,21.74,21.32,21.469999,21.469999,37329000
10/12/2020,21.879999,22.18,21.549999,21.85,21.85,45476800
10/13/2020,21.860001,21.969999,21.17,21.620001,21.620001,42581500
10/14/2020,23.98,26.959999,23.73,26.5,26.5,387903300
10/15/2020,27.200001,29.23,25.780001,28.07,28.07,385210600
10/16/2020,29.18,29.4,27.940001,28.48,28.48,186764700
10/19/2020,28.209999,28.559999,27.219999,27.629999,27.629999,115708700
10/20/2020,27.42,28.299999,27.049999,27.959999,27.959999,105233400
10/21/2020,27.9,28.43,27.389999,27.860001,27.860001,65357900
10/22/2020,28.15,28.280001,26.809999,27.379999,27.379999,72173300
10/23/2020,27.370001,27.42,26.48,27.16,27.16,51784000
10/26/2020,26.610001,27.35,25.459999,26.01,26.01,72610300
10/27/2020,26.209999,28.459999,26.030001,28.440001,28.440001,104257700
10/28/2020,27.92,28.1,26.51,27.51,27.51,89374900
10/29/2020,28.52,32.200001,28.32,31.99,31.99,214034700
10/30/2020,31.389999,31.59,30.030001,30.58,30.58,136607400
11/2/2020,33.950001,34.939999,31.68,33.32,33.32,265719900
11/3/2020,33.57,35.869999,32.779999,35.5,35.5,217608100
11/4/2020,37.439999,39.75,35.82,37.709999,37.709999,339385900
11/5/2020,38.779999,42.490002,38.25,42.349998,42.349998,302472600
11/6/2020,41.09,43.299999,40.049999,41.630001,41.630001,288784300
11/9/2020,41.650002,45.290001,40.380001,44.02,44.02,218733300
11/10/2020,44.5,45.200001,38.110001,41.549999,41.549999,237403600
11/11/2020,39.709999,43.23,38.639999,43.080002,43.080002,179581200
11/12/2020,44.48,49.349998,43.950001,48.299999,48.299999,345932900
11/13/2020,51.290001,54.200001,40.549999,44.560001,44.560001,577185100
11/16/2020,41.119999,45.849998,41.099998,45.580002,45.580002,306209100
11/17/2020,47.57,49.369999,44.959999,46.59,46.59,345578500
11/18/2020,45.75,46.720001,42.5,45.060001,45.060001,271678300
11/19/2020,45.360001,48.919998,44.68,48.450001,48.450001,233779100
11/20/2020,48.27,50.59,47.880001,49.25,49.25,208676000
